id_municipio;nome_municipio;pib_2019;pib_2020;pib_2021;pib_2022;pib_2023
4321832;Três Forquilhas (RS);58099;57858;64219;65535;79197
4321857;Três Palmeiras (RS);146919;132970;178530;167221;165901
4321907;Três Passos (RS);919889;923911;1033034;1042891;1228032
4321956;Trindade do Sul (RS);210887;254614;351371;350216;403531
4322004;Triunfo (RS);8350172;7207369;12982404;8100073;7571335
4322103;Tucunduva (RS);224798;232885;259332;231816;231162
4322152;Tunas (RS);80899;71197;120845;94230;94250
4322186;Tupanci do Sul (RS);58392;60754;94728;69335;79798
4322202;Tupanciretã (RS);1208126;1188506;2052015;1376719;1275254
4322251;Tupandi (RS);498711;506979;533593;492126;604244
4322301;Tuparendi (RS);297540;318662;383535;337680;375006
4322327;Turuçu (RS);105027;95532;163727;155553;161326
4322343;Ubiretama (RS);65833;72636;110732;66301;73526
4322350;União da Serra (RS);53198;53537;91174;61154;64313
4322376;Unistalda (RS);72263;88205;149067;72706;71038
4322400;Uruguaiana (RS);2885430;2843973;3717113;3458296;3915554
4322509;Vacaria (RS);2459450;2540707;3245679;3123585;3701333
4322525;Vale Verde (RS);91123;83357;130453;124468;156860
4322533;Vale do Sol (RS);239589;220382;272714;308990;380489
4322541;Vale Real (RS);149400;168213;198294;236643;298091
4322558;Vanini (RS);64629;65435;94776;66961;81724
4322608;Venâncio Aires (RS);3459257;3671023;3732042;3876145;4683134
4322707;Vera Cruz (RS);700555;746966;826722;879952;1126736
4322806;Veranópolis (RS);1546920;1631711;1738706;2153389;2395417
4322855;Vespasiano Corrêa (RS);70012;74332;119440;96635;104348
4322905;Viadutos (RS);149233;148690;204582;180273;191223
4323002;Viamão (RS);4044781;4235788;4335081;4647664;5545184
4323101;Vicente Dutra (RS);101402;112507;126515;116895;147864
4323200;Victor Graeff (RS);166678;145077;295872;183147;235754
4323309;Vila Flores (RS);219325;212277;297553;331034;376709
4323358;Vila Lângaro (RS);107889;119068;168933;159764;155271
4323408;Vila Maria (RS);223429;252346;389407;326670;393600
4323457;Vila Nova do Sul (RS);118531;102026;195943;158884;217498
4323507;Vista Alegre (RS);94384;111076;137064;120420;137185
4323606;Vista Alegre do Prata (RS);56403;62112;85229;74432;76367
4323705;Vista Gaúcha (RS);72419;84439;103513;87315;94256
4323754;Vitória das Missões (RS);96955;107974;159528;80087;89071
4323770;Westfália (RS);184097;201756;264840;255847;234678
4323804;Xangri-lá (RS);553472;622082;733160;790855;914704
5000203;Água Clara (MS);1128138;1083939;1211925;1718478;1544633
5000252;Alcinópolis (MS);167820;240729;237904;291926;384368
5000609;Amambai (MS);972520;1275207;2033695;2107401;2426261
5000708;Anastácio (MS);500752;582334;609913;964115;783841
5000807;Anaurilândia (MS);261086;322117;410374;438853;623710
5000856;Angélica (MS);745123;952295;883913;1013830;1243471
5000906;Antônio João (MS);374115;533687;866590;917075;851781
5001003;Aparecida do Taboado (MS);1158782;1236362;1660199;2245279;2189222
5001102;Aquidauana (MS);960953;1034955;1116844;1341941;1437451
5001243;Aral Moreira (MS);505843;956114;1255601;1184828;1348752
5001508;Bandeirantes (MS);381430;573410;780114;1076855;1001346
5001904;Bataguassu (MS);840701;918829;1055097;1403352;1841917
5002001;Batayporã (MS);388323;514261;603790;637225;784829
5002100;Bela Vista (MS);551950;687331;931638;1098991;1176300
5002159;Bodoquena (MS);220141;265252;332561;511355;386420
5002209;Bonito (MS);790948;961002;1130067;1312946;1586577
5002308;Brasilândia (MS);600358;729587;833889;1056555;1159417
5002407;Caarapó (MS);1244925;1908492;1967108;2000420;2553085
5002605;Camapuã (MS);423338;540187;607830;774336;872276
5002704;Campo Grande (MS);30221880;30139204;35187899;40478598;42269768
5002803;Caracol (MS);120271;145827;174649;218740;251148
